city,state,dam_name,river,year_completed,hazard,eap,latitude,longitude
MULBERRY,FL,POL52,UNNAMED POND,NA,U,N,27.885241,-82.042557
SATSUMA,FL,SPRING LAKE DAM,DEEP CREEK TRIB,NA,S,N,29.580529,-81.890863
CLARKSVILLE,FL,ROBINSON DAM,FOUR MILE CREEK,1972,L,NR,30.4396,-85.2252
BARTOW BUT SWFWMD SAYS FORT MEADE,FL,CLEAR SPRINGS N-12A,PEACE RIVER,1975,S,N,27.860001,-81.839996
DORCAS,FL,HUCKABA DAM,TR-GUM CREEK,1965,L,NR,30.816954,-86.150676
FORT MEADE,FL,SETTLING AREA B DIKE,WHIDDEN CREEK,1965,L,N,27.700001,-81.839996
IRWINVILLE,GA,DORMINY & LUKE  POND DAM,UNKNOWN,NA,L,NR,31.7625,-83.375833
ALBANY,GA,ELLERBEE LAKE DAM,UNKNOWN,1985,L,NR,32.872778,-84.437778
SMITH ISLAND (ENVIRONS),GA,LOWER TAYLOR LAKE DAM NO. 2,UNKNOWN,1970,L,NR,34.614667,-83.640528
NA,GA,PAIGE POND DAM,NA,NA,L,NR,33.720278,-82.483611
VILLA RICA,GA,HOLLOMAN LAKE DAM,MUD CREEK,NA,L,NR,33.795056,-84.997722
NA,GA,O'NEAL LAKE DAM,UNKNOWN,NA,L,NR,33.797222,-84.161111
BROOKS,GA,CLOVER LAKE DAM,UNKNOWN,1946,L,NR,33.269333,-84.481389
NA,GA,FOXHALL FARMS LAKE DAM NO. 3,NA,1994,L,NR,33.592778,-84.805833
REMERTON,GA,WILSON LAKE DAM,TR- LITTLE RIVER,1977,L,N,31.383686,-83.501441
DULUTH,GA,PICKFORD LAKE DAM,UNKNOWN,1981,L,NR,34.041667,-84.146111
PUKALANI,HI,HC&S RESERVOIR 40,KALIALINUI GULCH OFFSTREAM,1926,H,Y,20.815454,-156.368052
KUKUIULA,HI,AEPOEKOLU RESERVOIR,AEPO GULCH,1910,H,Y,21.907991,-159.487699
LAHAINA,HI,KAHOMA RESERVOIR,KAHOMA STREAM OFFSTREAM,1918,H,Y,20.901881,-156.640616
KAPAA,HI,UPPER KAPAHI RESERVOIR,TR-WAIKAEA CANAL OFFSTREAM,1910,H,Y,22.094186,-159.365722
NA,HI,WAIKOLOA RESERVOIR NO. 3,WAIKOLOA - OFF STREAM,1985,H,Y,20.034355,-155.669474
WAIALUA,HI,WAHIAWA DAM,KAUKONAHUA STREAM,1906,H,Y,21.497655,-158.049151
KOLOA,HI,PIA MILL RESERVOIR,WAIHOHONU STREAM OFFSTREAM,1910,H,Y,21.920674000000002,-159.471302
KALAHEO,HI,IPUOLONO RESERVOIR,KALAHEO GULCH,1910,H,Y,21.920425,-159.536125
LAWAI HOMESTEADS,HI,KAUPALE RESERVOIR,TR-LAWAI STREAM,1910,H,Y,21.904992,-159.495728
WAIKAPU,HI,WAILUKU WATER RESERVOIR 6,NA,NA,H,Y,20.856386,-156.500946
TURIN,IA,WEBER CREEK SUBWATERSHED SITE M-17052,TR-EAST FORK WOLF CREEK,1956,L,NR,42.40029907,-95.94760132
BURLINGTON,IA,IOWA NONAME91,TR-BIG HOLLOW CREEK,1980,L,NR,40.95050049,-91.20819855
MIDDLE AMANA,IA,AMANA SOCIETY WETLAND DAM,TR- IOWA RIVER,1995,L,NR,41.79589844,-91.93859863
WASHTA,IA,FEE SUBWATERSHED STA 05+00 MAIN GULLY,TR-LITTLE SIOUX RIVER,1954,L,NR,42.5984993,-95.65820313
MUSCATINE,IA,HON DAM,TR- MISSISSIPPI RIVER,1991,S,NR,41.44979858,-91.02279663
FONDA,IA,SCOTT DAM,TR- BIG CEDAR CREEK,1999,L,NR,42.70320129,-94.79039764
LAKE ICARIA,IA,WALTERS CREEK WATERSHED SITE 24-3,TR-KEMP CREEK,1968,L,NR,41.04539871,-94.71459961
QUIMBY,IA,PILOT ROCK SUBWTRSHD STA 30+40 #1-C,TR-LITTLE SIOUX RIVER,1963,L,NR,42.69100189,-95.54290009
MT. ETNA,IA,CUMMINS DAM,TR- MIDDLE NODAWAY RIVER,1999,L,NR,41.23109818,-94.56020355
INDIANOLA,IA,ZIMMERMAN DAM,TR- SOUTH RIVER,1998,L,NR,41.348065,-93.5685629
SNAKE RIVER,ID,W-DRAIN,BIRCH CREEK,2008,S,NR,42.85541107,-114.8791335
RIRIE,ID,GRAYS LAKE-N END OUTLET,GRAYS LAKE OUTLET,1924,L,NR,43.12676438,-111.4905977
NA,ID,BEARTRACK TREATMENT LAGOON,NAPIAS CREEK,1995,L,NR,45.2152,-114.1285
GARDEN VALLEY,ID,DEADWOOD,DEADWOOD RIVER SOUTH FORK PAYETTE RIVER,1931,H,Y,44.2937,-115.6459
REMOTE,ID,HORNET CREEK LOWER,HORNET CREEK,1913,L,NR,44.79807584,-116.7259101
NEW PLYMOUTH,ID,DRY CREEK MAIN,DRY CREEK,1976,H,Y,44.08080686,-116.5641058
NONE,ID,SHOSHONE FALLS DAM 2,SNAKE RIVER,1907,L,NR,42.6,-114.4
NA,ID,HOUTZ,UNNAMED STREAM,NA,U,N,42.94981925,-111.4573645
NA,ID,SPRING CREEK,SPRING CREEK,NA,S,N,44.0793183,-111.5533221
"SHELLEY, ID",ID,GEM STATE LEFT DIKE,SNAKE RIVER,1988,H,Y,43.4317,-112.0938
ZEIGLER,IL,BUCKNER RESERVOIR DAM,OFF STREAM,1910,L,N,37.97519,-89.00571
WARRENSVILLE,IL,LAKE LAW DAM,FERRY CREEK,1971,S,N,41.8367,-88.2233
PHILLIPSTOWN,IL,CANTRELL LAKE DAM,TRIB FOX RIVER,1990,S,Y,38.15271,-88.01405
THORNTON,IL,THORTON QUARRY GAP DAM,THORNTON QUARRY,2013,H,Y,41.579867,-87.61897
CAMDEN,IL,CROXTON LAKE DAM,TRIB LITTLE CEDAR CREEK,1965,L,N,40.14778,-90.85474
MAROA,IL,CLINTON POWER STATION/DREDGE DISPOSAL POND DAM,TRIB CLINTON LAKE,1990,L,Y,40.16315,-88.85339
SESSER,IL,ILL COAL RECOVERY/OLD ED MINE 21/SLURRY CELL 3 DAM,TRIB JACKIE BRANCH,1984,L,N,38.12217,-89.01505
BELLEVILLE,IL,CLOVERTOWNE LAKE DAM,TRIB NEGRO HOLLOW CREEK,1984,L,N,38.52132,-90.05141
JAMESTOWN-OFFSTREAM,IL,TOMAHAWK LAKE DAM,SHOAL CREEK-OFFSTREAM,1966,L,N,38.76022,-89.51675
SWANSEA,IL,GEBHARDT LAKE DAM,TRIB RICHLAND CREEK,NA,H,NR,NA,NA
NA,IN,HICKORY LAKE,UNNAMED TRIBUTARY BOSTON CREEK,1902,S,NR,39.246388,-87.243888
NA,IN,CEDARVILLE DAM,ST. JOSEPH RIVER,1953,H,Y,41.186388,-85.016943
NA,IN,ST. JOSEPH RIVER (IN-CHANNEL) DAM,ST. JOSEPH RIVER,1933,S,NR,41.101666,-85.11861
NA,IN,LAKE GIBSON DAM,UNNAMED TRIBUTARY INDIAN CREEK,1933,L,NR,38.355833,-87.542221
NA,IN,STAR MILL DAM,FAWN RIVER,1929,L,NR,41.745277,-85.436666
NA,IN,ST. JOHN COMMONS DAM,LONG RUN,2002,H,Y,39.389721,-86.254166
NA,IN,OLINGER LAKE,UNNAMED TRIBUTARY CUP CREEK,2000,L,NR,38.254166,-87.11861
NA,IN,KELLY LAKE DAM,UNNAMED TRIBUTARY LICK CREEK,1976,L,Y,39.321943,-86.305
HUNTINGTON,IN,WAHL-SHIN-CAH LAKE,UNNAMED HUNTINGTON RESERVOIR #1,1986,L,NR,40.830277,-85.406666
MILLPORT,IN,DELANEY CREEK DAM NO. 13,UNNAMED TRIBUTARY DELANEY CREEK,1982,L,NR,38.677777,-86.016943
LINWOOD,KS,NA,STRANGER CREEK-TR,1938,L,NR,39.212081,-95.035844
SYRACUSE,KS,NA,ARKANSAS RIVER-TR  OFFSTREAM,1952,L,NR,37.910423,-101.839773
PERRY,KS,NA,EVANS CREEK-TR,1958,L,NR,39.190549,-95.361961
BARNARD,KS,FRD NO 37,BATTLE CREEK-TR,1977,S,N,39.13916133,-98.15508034
FAIRPORT,KS,NA,SALINE RIVER-TR,1956,L,NR,39.122891,-99.08059
WHITEWATER,KS,NA,WALNUT CREEK-TR,1971,L,NR,38.061292,-97.240672
NA,KS,NA,SAND CREEK-TR,1951,L,NR,39.259737,-99.684673
NA,KS,NA,SMOKY HILL RIVER -TR,1998,L,NR,38.775262,-97.368505
OLPE,KS,OLPE CITY LAKE,EAGLE CREEK-TR,1965,L,Y,38.251438,-96.184784
GRANTVILLE,KS,NA,BIG MUDDY CREEK-TR,NA,L,NR,39.169089,-95.575586
BOSTON,KY,TIMBER TRAILS LAKE DAM,LICK CREEK,1972,S,NR,37.79694444,-85.64555556
METROPOLIS ILL.,KY,OHIO RIVER LOCKS & DAM 52,OHIO RIVER,1929,S,Y,37.12167,-88.651672
CHAPPELL,KY,BRITTON BRANCH REFUSE DAM,NA,NA,H,NR,37.005556,-83.330833
RYLAND-AREA,KY,RYLAND LAKES DAM NO 3,TR-LICKING RIVER,1920,L,NR,38.94301,-84.46642
FIES,KY,EAST FORK POND RIVER FRS 9B,POND RIVER,1965,L,NR,37.077268,-87.16963
CRESWELL-VICINITY,KY,DONALDSON CREEK FRS NO 9,DONALDSON CREEK,1965,L,NR,37.26,-87.93
NO TOWN,KY,DU PONT FLY ASH,NA,1987,L,NR,38.21361111,-85.85583333
BOSTON,KY,LONG RUN PARK LAKE DAM,FLOYDS FORK,1968,S,NR,38.265,-85.41583333
LITSEY,KY,WILLIS WALKER FARM DAM,BEECH FORK OFFSTREAM,1968,L,NR,37.772161,-85.199567
STURGIS,KY,CYPRESS CREEK LAKE FRS NO 3,CYPRESS CREEK,1965,L,NR,37.5788,-87.8552
BOSSIER CITY,LA,BAYOU BODCAU DAM,BAYOU BODCAU,1949,H,Y,32.705002,-93.513329
DELHI,LA,POVERTY POINT RESERVOIR DAM,BAYOU MACON,1998,H,Y,32.488,-91.489
BAINS,LA,RELAN DAM,TRI-BAYOU SARA,NA,U,NR,30.90583333,-91.40166667
MARKEE,LA,GOVERNMENT POND,DRAKES CREEK,1942,L,NR,30.9816,-93.1257
DERIDDER,LA,ALVIN GRAY DAM,BIG BRANCH,1986,L,NR,30.799,-93.14861111
VERNON,LA,JOHN ADAMS DAM,CHUNK CREEK,NA,L,NR,32.485,-92.547
LEESVILLE,LA,FRANK LEACH DAM,BEASON CREEK,1983,L,NR,31.198,-93.21583333
CLINTON,LA,KARL CHANEY DAM,BLUFF CREEK,1984,L,NR,30.825,-90.92777778
BATTLE,LA,JIMMY MAJOR LAKE,TR-MONAHAN BAYOU,1969,L,NR,30.845,-91.059
COLQUITT,LA,TIGNER FARMS POND,TR-MIDDLE FORK BAYOU D ARBONNE,1952,L,NR,NA,NA
NA,MA,WHITMANS POND DAM,WEYMOUTH BACK RIVER,1970,H,Y,42.21108,-70.929386
TURNERS FALLS,MA,TURNERS FALLS POWER CANAL - RIGHT DIKE,TURNERS FALLS CANAL,1915,L,NR,42.5951,-72.5772
ATHOL,MA,CRESCENT STREET,MILLERS RIVER,1900,S,Y,42.5967,-72.2318
NA,MA,OVERLOOK RESERVOIR DIKE,TRIBUTARY OF NORTH NASHUA RIVER,1872,H,Y,42.598497,-71.815417
NA,MA,ROARING BROOK DAM,ROARING BROOK,1975,H,Y,42.47022132,-72.66490392
NA,MA,SCOTT RESERVOIR DAM,SCOTT BROOK,1875,H,Y,42.61206667,-71.82751704
NA,MA,JUDA DAM,TRIBUTARY OF BEAVER BROOK,1962,L,NR,42.292528,-72.289961
NA,MA,YOKUM POND DAM,MORLEY BROOK,NA,S,NR,42.307817,-73.125063
NA,MA,LAC MARIE DAM,SEVEN MILE RIVER,NA,S,NR,42.29179532,-72.00114466
NA,MA,CHARLES RIVER DAM AT SOUTH NATICK,CHARLES RIVER,1934,H,Y,42.271548,-71.315755
SALISBURY,MD,PARKER POND (N. SHUMAKER DRIVE),BEAVERDAM CREEK,1956,L,NR,38.3458,-75.5475
ODENTON,MD,BURBA LAKE DAM,NA,1927,S,Y,39.095,-76.7367
LLOYDS LANDING,MD,EASTON PRIMARY SEWAGE LAGOON,CHOPTANK RIVER-TR-OS,1962,L,NR,38.7467,-76.0183
NA,MD,BIG MILLPOND DAM,LITTLE MILL RUN,NA,L,NR,38.0156,-75.4561
BARTON,MD,BARTON RESERVOIR,BUTCHER RUN,1968,S,N,39.541649,-79.033373
SABRINA MATTFELDT,MD,GREENSPRING EAST SWM POND NO. 3 (STREAM CROSSING ROAD),JONES FALLS-TR-MOORES BRANCH,1995,L,NR,39.389525,-76.681987
NA,MD,INDUSTRIAL DAM,"NORTH BRANCH, POTOMAC RIVER",1954,L,NR,39.6486,-78.7661
RED TOAD ROAD,MD,YORK BLDG PRODUCTS SETTLING POND 13,STONEY RUN-OS,2016,S,Y,39.625,-76.006
GERMANTOWN,MD,CHADSWOOD SWM POND (CROSS LAUREL DRIVE),GREAT SENECA CREEK-TR,1981,S,Y,39.189605,-77.229295
PUNCHEON LANDING,MD,POCOMOKE CITY SEWAGE LAGOON NO. 2 (SOUTH POND),UNION BRANCH-OS,1972,L,NR,38.0483,-75.565
OLD TOWN,ME,MILFORD,PENOBSCOT RIVER,1906,L,NR,44.9409,-68.6477
WILSONS MILLS,ME,ABBOTT BROOK DIKE,ABBOTT BROOK,1911,H,Y,44.9673,-71.0206
SABATTUS,ME,SLEEPER,HOOPER BROOK,1850,S,Y,44.122279,-70.10791
LITCHFIELD,ME,TACOMA LAKES,POND STREAM,1885,L,NR,44.213443,-69.935539
EMBDEN/HANSON,ME,EMBDEN POND,MILL STREAM,1900,L,NR,44.9133333,-69.940859
SANDY RIVER PLT/RANGELEY,ME,CITY POND,CASCADE STREAM,1905,L,NR,44.92617,-70.583173
EAST MILLINOCKET,ME,DOLBY,WEST BRANCH PENOBSCOT RIVER,1906,H,Y,45.6325,-68.6075
BLAINE,ME,ROBINSON,PRESTILE STREAM,1930,L,NR,46.473565,-67.839887
PORTLAND,ME,CAPISIC POND,CAPISIC BROOK,1956,L,NR,43.664011,-70.307134
STONEHAM,ME,KEEWAYDIN LAKE,MILL BROOK,1850,L,NR,44.256439,-70.82811
ROGERS CITY,MI,TROUT CREEK DAM,TROUT CREEK,1971,L,NR,45.43333333,-83.84833333
FLINT,MI,SEVEN LAKES ADDITION DAM,SWARTZ CREEK,1970,L,NR,42.816731,-83.670075
KALAMAZOO,MI,MONARCH PAPER MILL DAM,PORTAGE CREEK,1916,L,NR,42.25833333,-85.57666667
BOYNE FALLS,MI,BOYNE FALLS DAM,BOYNE RIVER,NA,S,Y,45.16861111,-84.91972222
RUSHTON,MI,NICHWAGH LAKE DAM,TRIBUTARY TO HURON RIVER,1830,H,Y,42.45166667,-83.695
CENTREVILLE,MI,CENTREVILLE WASTEWATER TREATMENT LAGOON DAM,SPRING CREEK,2000,L,NR,41.93472,-85.51033
SAGINAW,MI,POOL THREE,FERGUSON BAYOU OFFSTREAM,1967,L,NR,43.34666667,-84.00666667
UNION CITY,MI,RANDALL DAM,COLDWATER RIVER,1838,U,Y,42.06166667,-85.12666667
SOUTH LYON,MI,LOWER CHILSON POND DAM,CHILSON CREEK,1961,S,Y,42.506864,-83.860837
BRIGHTON,MI,MORAINE LAKE DAM,MANN CREEK,1970,L,NR,42.55333333,-83.71833333
LOCAL RESIDENTS,MN,HILL ANNEX NO. 3,SWAN RIVER-TR,1954,S,NR,47.30307,-93.24907
ST. PAUL,MN,KELLER LAKE,KELLER CREEK,1938,L,NR,44.99794,-93.06315
SPICER,MN,ELKHORN LAKE REARING POND,CROW RIVER MIDDLE FORK,1969,L,NR,45.21442,-94.93568
CROSS LAKE,MN,SOUTH FORK PINE RIVER,PINE RIVER SOUTH FORK,1979,L,NR,46.75538,-94.56706
NONE,MN,LAKE BEMIDJI,MISSISSIPPI RIVER,1907,S,Y,47.48368,-94.72967
ERSKINE,MN,TAMARAC LAKE OUTLET,BADGER CREEK,1930,L,NR,47.68584,-95.98816
DEER RIVER,MN,DEER LAKE,DEER RIVER,1938,L,NR,47.38981,-93.71396
LAKE CITY,MN,WEST FORK GROUP NO. 1,WELLS CREEK-TR,1971,L,NR,44.4811,-92.52069
WHITE ROCK,MN,BELLE CREEK R-1,BELLE CREEK,1979,S,NR,44.39446,-92.77728
EDGERTON,MN,SNYDER FARM POND,ROCK RIVER-TR,1978,L,NR,43.89601,-96.16793
BIG SPRING,MO,GROSS DAM,TR PRAIRIE FORK,1976,L,NR,38.83502582,-91.71939333
CANTON,MO,BUCK & DOE RUN WATERSHED DAM 28,TR-BUCK RUN CR,1976,L,NR,40.20847,-91.55878
CLIMAX SPRINGS,MO,DENNIS LAKE DAM,TR TO LITTLE BUFFALO CREEK,NA,H,NR,38.34388887,-92.96881622
LEXINGTON,MO,LITTLE SNI-A-BAR #29,TR-LITTLE SNIABAR CR,1972,L,N,39.10518532,-93.89869576
NA,MO,BIG CREEK-HURRICANE CREEK P-  3,TR-PARKER BRANCH,2006,L,NR,39.39434,-93.39152
CHAIN OF ROCKS,MO,SCHUPMANN LAKE DAM,TR-COON CREEK,1972,L,NR,38.95521622,-91.06522002
"PARIS, MO",MO,HOCHSTETLER DAM,TR-BILLY'S BRANCH,2005,L,NR,39.8243,-92.3793
MINEOLA,MO,FELDKAMP LAKE DAM,TR-MCINTOSH BR-LOUTRE RIVER,1978,S,NR,38.97389429,-91.5915421
LAKE SPRING,MO,HIGHWAY LAKE DAM,PETERS BRANCH,1952,L,NR,37.79121072,-91.68085095
CREVE COEUR,MO,HUNTER DAM,TR CREVE COEUR,1957,H,NR,38.66454662,-90.49783855
NA,MS,WILSON LAKE DAM,UNT OF FOURTEEN MILE CREEK,2000,L,NR,32.21369344,-90.42496547
NA,MS,GULF PINES NUMBER 3 DAM,NA,NA,U,NR,30.44566816,-89.28660841
NA,MS,MS04026 LAKE DAM,NA,NA,L,NR,30.74641,-89.72246
NA,MS,MS06848 LAKE DAM,NA,NA,U,NR,34.95962525,-88.85949615
NA,MS,MS05665 LAKE DAM,NA,NA,U,NR,32.39905,-90.59333
GRANGEVILLE,MS,J. C. STEVENS LAKE,AMITE RIVER W FORK,1968,L,NR,31.091389,-90.859429
GLUCKSTADT,MS,GILMER LAKE DAM,UNT OF BEAR CREEK,2011,H,Y,32.52724261,-90.1149761
NA,MS,MS06868 LAKE DAM,NA,NA,U,NR,32.78533735,-89.47712011
NA,MS,MS05723 LAKE DAM,NA,NA,U,NR,34.57531,-90.11855
RAMSEY SPRINGS,MS,HAYNES LAKE DAM,TR- BRIDGE CREEK -OS,1968,L,NR,30.88214769,-89.08054631
LOMA,MT,GALA KUL,TR-EAST DUGOUT COULEE,1960,L,NR,48.159,-110.9329
